key,value
agent,she
agent,he
agent,mommy
agent,daddy
agent,lucy
agent,john
pronoun,me
pronoun,her
pronoun,him
pronoun,it
pronoun,them
pronoun,us
pronoun,someone
pronoun,something
animate,me
animate,her
animate,him
animate,them
animate,us
animate,someone
animate,mommy
animate,grandpa
animate,grandma
animate,a cat
animate,the cat
animate,a dog
animate,the dog
animate,a big bear
animate,the big bear
animate,a cute cat
animate,a small dog
animate,the cute cat
animate,the small dog
animate,the bear over there
animate,a bear outside the house
animate,the cat in that house
animate,the cat over there
animate,a cat in that house
animate,the dog outside the house
animate,a dog outside the house
animate,the dog over there
animate,daddy
inanimate,it
inanimate,something
inanimate,a ball
inanimate,the ball
inanimate,a book
inanimate,the book
inanimate,a cup
inanimate,the cup
inanimate,a toy
inanimate,the toys
inanimate,a red ball
inanimate,the red ball
inanimate,a nice book
inanimate,some books
inanimate,some balls
inanimate,a toy in the room
inanimate,the toys in the room
inanimate,the cup on the table
inanimate,a cup on the table
inanimate,some milk
inanimate,some food
inanimate,the food
inanimate,the milk
inanimate,the food on the table
inanimate,the balls in the room
inanimate,a ball in that room
inanimate,the cheerios
inanimate,the legos
inanimate,a lego
recipient,a lego
inanimate,the pencils
theme,me
theme,her
theme,him
theme,it
theme,them
theme,us
theme,someone
theme,something
theme,mommy
theme,grandpa
theme,grandma
theme,a cat
theme,the cat
theme,a dog
theme,the dog
theme,a big bear
theme,the big bear
theme,a cute cat
theme,a small dog
theme,the cute cat
theme,the small dog
theme,the bear over there
theme,a bear outside the house
theme,the cat in that house
theme,the cat over there
theme,a cat in that house
theme,the dog outside the house
theme,a dog outside the house
theme,the dog over there
theme,daddy
theme,it
theme,something
theme,a ball
theme,the ball
theme,a book
theme,the book
theme,a cup
theme,the cup
theme,a toy
theme,the toys
theme,a red ball
theme,the red ball
theme,a nice book
theme,some books
theme,some balls
theme,a toy in the room
theme,the toys in the room
theme,the cup on the table
theme,a cup on the table
theme,some milk
theme,some food
theme,the food
theme,the milk
theme,the food on the table
theme,the balls in the room
theme,a ball in that room
theme,the cheerios
theme,the legos
theme,a lego
theme,the pencils
recipient,me
recipient,her
recipient,him
recipient,it
recipient,them
recipient,us
recipient,someone
recipient,something
recipient,mommy
recipient,grandpa
recipient,grandma
recipient,a cat
recipient,the cat
recipient,a dog
recipient,the dog
recipient,a big bear
recipient,the big bear
recipient,a cute cat
recipient,a small dog
recipient,the cute cat
recipient,the small dog
recipient,the bear over there
recipient,a bear outside the house
recipient,the cat in that house
recipient,the cat over there
recipient,a cat in that house
recipient,the dog outside the house
recipient,a dog outside the house
recipient,the dog over there
recipient,daddy
recipient,it
recipient,something
recipient,a ball
recipient,the ball
recipient,a book
recipient,the book
recipient,a cup
recipient,the cup
recipient,a toy
recipient,the toys
recipient,a red ball
recipient,the red ball
recipient,a nice book
recipient,some books
recipient,some balls
recipient,a toy in the room
recipient,the toys in the room
recipient,the cup on the table
recipient,a cup on the table
recipient,some milk
recipient,some food
recipient,the food
recipient,the milk
recipient,the food on the table
recipient,the balls in the room
recipient,a ball in that room
recipient,the cheerios
recipient,the legos
recipient,the pencils
definite,grandma
definite,mommy
definite,daddy
definite,me
definite,her
definite,him
definite,it
definite,them
definite,us
definite,grandpa
definite,the cat
definite,the dog
definite,the big bear
definite,the cute cat
definite,the small dog
definite,the bear over there
definite,the cat in that house
definite,the cat over there
definite,the dog outside the house
definite,the dog over there
definite,the ball
definite,the book
definite,the cup
definite,the toys
definite,the red ball
definite,the toys in the room
definite,the cup on the table
definite,the food
definite,the milk
definite,the food on the table
definite,the balls in the room
definite,the pencils
indefinite,someone
indefinite,something
indefinite,a cat
indefinite,a dog
indefinite,a big bear
indefinite,a cute cat
indefinite,a small dog
indefinite,a bear outside the house
indefinite,a cat in that house
indefinite,a dog outside the house
indefinite,a ball
indefinite,a book
indefinite,a cup
indefinite,a toy
indefinite,a red ball
indefinite,a nice book
indefinite,some books
indefinite,some balls
indefinite,a toy in the room
indefinite,a cup on the table
indefinite,some milk
indefinite,some food
indefinite,a ball in that room
definite,the cheerios
definite,the legos
inanimate,the legos
indefinite,a lego
indefinite,a pencil
inanimate,a pencil
theme,a pencil
recipient,a pencil
inanimate,a chair
indefinite,a chair
theme,a chair
recipient,a chair
inanimate,the chair
definite,the chair
theme,the chair
recipient,the chair
theme,some cheerios
indefinite,some cheerios
recipient,some cheerios
inanimate,some cheerios
theme,the pencils in the box
indefinite,the pencils in the box
recipient,the pencils in the box
inanimate,the pencils in the box
theme,some dogs outside the house
indefinite,some dogs outside the house
recipient,some dogs outside the house
animate,some dogs outside the house
theme,some bears in the forest
indefinite,some bears in the forest
recipient,some bears in the forest
animate,some bears in the forest
theme,a bear
recipient,a bear
animate,a bear
indefinite,a bear